mep_identifier,mep_honorific_prefix,mep_given_name,mep_family_name,mep_official_given_name,mep_official_family_name,country,political_group,political_group_abb,national_political_group,mep_gender,mep_citizenship,mep_place_of_birth,mep_birthday,mep_death_date,age,mep_image,mep_email,mep_homepage,mep_twitter,mep_facebook_page,mep_facebook_profile,mep_instagram,mep_URI
125106,Mr,Johan,Van Overtveldt,,,Belgium,European Conservatives and Reformists Group,ECR,Nieuw-Vlaamse Alliantie,male,Belgium,Mortsel,8/24/1955 1:00,,67,https://www.europarl.europa.eu/mepphoto/125106.jpg,johan.vanovertveldt@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/125106
197467,Mr,Geert,Bourgeois,,,Belgium,European Conservatives and Reformists Group,ECR,Nieuw-Vlaamse Alliantie,male,Belgium,Roeselare,6/7/1951 1:00,,72,https://www.europarl.europa.eu/mepphoto/197467.jpg,geert.bourgeois@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197467
129164,Mr,Tom,Vandenkendelaere,,,Belgium,Group of the European People's Party (Christian Democrats),EPP,Christen-Democratisch en Vlaams,male,Belgium,Roeselare,2/9/1984 0:00,,39,https://www.europarl.europa.eu/mepphoto/129164.jpg,tom.vandenkendelaere@europarl.europa.eu,http://www.eutom.eu/,https://twitter.com/tomvdkendelaere,https://www.facebook.com/tomvdkendelaere/,,https://www.instagram.com/tomvdkendelaere/,https://data.europarl.europa.eu/person/129164
197455,Ms,Cindy,Franssen,,,Belgium,Group of the European People's Party (Christian Democrats),EPP,Christen-Democratisch en Vlaams,female,Belgium,Oudenaarde,1/30/1976 1:00,,47,https://www.europarl.europa.eu/mepphoto/197455.jpg,cindy.franssen@europarl.europa.eu,http://www.cindyfranssen.be,https://twitter.com/franssencindy,https://www.facebook.com/CindyFranssen76/,,https://instagram.com/cindy.franssen.90,https://data.europarl.europa.eu/person/197455
24922,Mr,Pascal,Arimont,,,Belgium,Group of the European People's Party (Christian Democrats),EPP,Christlich Soziale Partei,male,Belgium,Malmedy,9/25/1974 1:00,,48,https://www.europarl.europa.eu/mepphoto/24922.jpg,pascal.arimont@europarl.europa.eu,https://pascal-arimont.eu/,https://twitter.com/pascal_arimont,https://www.facebook.com/pascalarimont.official,,https://www.instagram.com/pascalarimontmep/,https://data.europarl.europa.eu/person/24922
197458,Mr,Benoît,Lutgen,,,Belgium,Group of the European People's Party (Christian Democrats),EPP,Les Engagés,male,Belgium,Bastogne,10/3/1970 1:00,,52,https://www.europarl.europa.eu/mepphoto/197458.jpg,benoit.lutgen@europarl.europa.eu,,https://twitter.com/BenoitLutgen,,,,https://data.europarl.europa.eu/person/197458
197470,Ms,Saskia,Bricmont,,,Belgium,Group of the Greens/European Free Alliance,Greens-EFA,Ecologistes Confédérés pour l'Organisation de Luttes Originales,female,Belgium,Tournai,3/16/1985 1:00,,38,https://www.europarl.europa.eu/mepphoto/197470.jpg,saskia.bricmont@europarl.europa.eu; saskia.bricmont@ecolo.be,http://saskiabricmont.eu,https://twitter.com/bricmontsaskia,https://www.facebook.com/bricmontsaskia,,https://www.instagram.com/saskiabricmont/,https://data.europarl.europa.eu/person/197470
208722,Ms,Sara,Matthieu,,,Belgium,Group of the Greens/European Free Alliance,Greens-EFA,Groen,female,Belgium,Aalst,5/21/1981 0:00,,42,https://www.europarl.europa.eu/mepphoto/208722.jpg,sara.matthieu@europarl.europa.eu,https://www.saramatthieu.be/,https://twitter.com/msaraswati,https://www.facebook.com/saraswati.matthieu,,https://www.instagram.com/sara__matthieu/,https://data.europarl.europa.eu/person/208722
96648,Mr,Philippe,Lamberts,,,Belgium,Group of the Greens/European Free Alliance,Greens-EFA,Ecologistes Confédérés pour l'Organisation de Luttes Originales,male,Belgium,Bruxelles,3/14/1963 1:00,,60,https://www.europarl.europa.eu/mepphoto/96648.jpg,philippe.lamberts@europarl.europa.eu,http://www.philippelamberts.eu/,,https://www.facebook.com/philippelambertseurope/,,,https://data.europarl.europa.eu/person/96648
5729,Ms,Kathleen,Van Brempt,,,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Vooruit,female,Belgium,Wilrijk,11/18/1969 1:00,,53,https://www.europarl.europa.eu/mepphoto/5729.jpg,kathleen.vanbrempt@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/5729
124936,Ms,Maria,Arena,,,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Parti Socialiste,female,Belgium,Mons,12/17/1966 1:00,,56,https://www.europarl.europa.eu/mepphoto/124936.jpg,maria.arena@europarl.europa.eu,http://www.mariearena.eu/,https://twitter.com/Mariearenaps,,https://www.facebook.com/Marie-Arena,https://www.instagram.com/mariearenaps/,https://data.europarl.europa.eu/person/124936
185771,Mr,Tom,Vandendriessche,,,Belgium,Identity and Democracy Group,ID,Vlaams Belang,male,Belgium,Leuven,10/27/1978 1:00,,44,https://www.europarl.europa.eu/mepphoto/185771.jpg,tom.vandendriessche@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/185771
124973,Mr,Gerolf,Annemans,,,Belgium,Identity and Democracy Group,ID,Vlaams Belang,male,Belgium,Antwerpen,8/11/1958 1:00,,64,https://www.europarl.europa.eu/mepphoto/124973.jpg,gerolf.annemans@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/124973
197472,Mr,Filip,De Man,,,Belgium,Identity and Democracy Group,ID,Vlaams Belang,male,Belgium,,11/11/1955 1:00,,67,https://www.europarl.europa.eu/mepphoto/197472.jpg,filip.deman@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197472
29579,Mr,Marc,Tarabella,,,Belgium,Non-attached Members,NI,Independent,male,Belgium,Ougrée,11/3/1963 1:00,,59,https://www.europarl.europa.eu/mepphoto/29579.jpg,marc.tarabella@europarl.europa.eu,http://www.tarabella.eu,https://twitter.com/marctarabella,http://www.facebook.com/pages/Marc-Tarabella/440244735250,https://www.facebook.com/marc.tarabella,,https://data.europarl.europa.eu/person/29579
130100,Ms,Hilde,Vautmans,,,Belgium,Renew Europe Group,Renew,Open Vlaamse Liberalen en Democraten,female,Belgium,Sint-Truiden,2/5/1972 1:00,,51,https://www.europarl.europa.eu/mepphoto/130100.jpg,hilde.vautmans@europarl.europa.eu,http://www.hildevautmans.be/,https://twitter.com/hildevautmans,https://www.facebook.com/HVautmans/?ref=br_rs,,https://www.instagram.com/hilde.vautmans/?hl=en,https://data.europarl.europa.eu/person/130100
197463,Mr,Olivier,Chastel,,,Belgium,Renew Europe Group,Renew,Mouvement Réformateur,male,Belgium,Liège,11/22/1964 1:00,,58,https://www.europarl.europa.eu/mepphoto/197463.jpg,olivier.chastel@europarl.europa.eu,,,https://www.facebook.com/OlivierChastel/,,https://www.instagram.com/ochastel/,https://data.europarl.europa.eu/person/197463
4253,Ms,Frédérique,Ries,,,Belgium,Renew Europe Group,Renew,Mouvement Réformateur,female,Belgium,Balen-Wezel,5/14/1959 1:00,,64,https://www.europarl.europa.eu/mepphoto/4253.jpg,frederique.ries@europarl.europa.eu,http://www.frederiqueries.be,http://twitter.com/Frederiqueries,https://www.facebook.com/frederiqueries/,,https://www.instagram.com/frederique.ries/,https://data.europarl.europa.eu/person/4253
97058,Mr,Guy,Verhofstadt,,,Belgium,Renew Europe Group,Renew,Open Vlaamse Liberalen en Democraten,male,Belgium,Dendermonde,11/4/1953 1:00,,69,https://www.europarl.europa.eu/mepphoto/97058.jpg,guy.verhofstadt@europarl.europa.eu,,http://twitter.com/GuyVerhofstadt,https://www.facebook.com/GuyVerhofstadt?ref=hl,http://www.facebook.com/verhofstadt.guy,,https://data.europarl.europa.eu/person/97058
187917,Mr,Marc,Botenga,,,Belgium,The Left group in the European Parliament - GUE/NGL,GUE/NGL,Parti du Travail de Belgique,male,Belgium,Bruxelles,12/29/1980 1:00,,42,https://www.europarl.europa.eu/mepphoto/187917.jpg,marc.botenga@europarl.europa.eu; marcjohan.botenga@europarl.europa.eu,,https://www.twitter.com/botengam,https://www.facebook.com/botengam,,https://www.instagram.com/marcbotenga/,https://data.europarl.europa.eu/person/187917
124873,Mr,Angel,Dzhambazki,Ангел,Джамбазки,Bulgaria,European Conservatives and Reformists Group,ECR,VMRO,male,Bulgaria,Sofia,3/21/1979 1:00,,44,https://www.europarl.europa.eu/mepphoto/124873.jpg,angel.dzhambazki@europarl.europa.eu,,https://twitter.com/djambazki,https://www.facebook.com/angel.djambazki,,,https://data.europarl.europa.eu/person/124873
197849,Mr,Andrey,Slabakov,Андрей,Слабаков,Bulgaria,European Conservatives and Reformists Group,ECR,VMRO,male,Bulgaria,Sofia,8/13/1960 1:00,,62,https://www.europarl.europa.eu/mepphoto/197849.jpg,andrey.slabakov@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197849
107212,Mr,Andrey,Novakov,Андрей,Новаков,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Citizens for European Development of Bulgaria,male,Bulgaria,PAZARDZHIK,7/7/1988 0:00,,34,https://www.europarl.europa.eu/mepphoto/107212.jpg,andrey.novakov@europarl.europa.eu,http://andreynovakov.eu/,https://twitter.com/andreynovakov,,https://www.facebook.com/andrey.novakov,https://www.instagram.com/novakov.a/,https://data.europarl.europa.eu/person/107212
98341,Ms,Eva,Maydell,Ева,Майдел,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Citizens for European Development of Bulgaria,female,Bulgaria,Sofia,1/26/1986 1:00,,37,https://www.europarl.europa.eu/mepphoto/98341.jpg,eva.maydell@europarl.europa.eu,http://evamaydell.eu/,https://twitter.com/EvaMaydell,https://www.facebook.com/EvaMaydell,,https://www.instagram.com/evamaydell/?hl=en,https://data.europarl.europa.eu/person/98341
197839,Mr,Radan,Kanev,Радан,Кънев,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Democrats for Strong Bulgaria,male,Bulgaria,Sofia,9/30/1975 1:00,,47,https://www.europarl.europa.eu/mepphoto/197839.jpg,radan.kanev@europarl.europa.eu,,https://twitter.com/rmkanev,,https://www.facebook.com/radan.kanev,https://www.instagram.com/rmkanev/,https://data.europarl.europa.eu/person/197839
124850,Mr,Emil,Radev,Емил,Радев,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Citizens for European Development of Bulgaria,male,Bulgaria,Varna,5/26/1971 1:00,,52,https://www.europarl.europa.eu/mepphoto/124850.jpg,emil.radev@europarl.europa.eu,http://emilradev.eu/,https://twitter.com/emil_radev,,,,https://data.europarl.europa.eu/person/124850
97968,Mr,Andrey,Kovatchev,Андрей,Ковачев,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Citizens for European Development of Bulgaria,male,Bulgaria,Sofia,12/13/1967 1:00,,55,https://www.europarl.europa.eu/mepphoto/97968.jpg,andrey.kovatchev@europarl.europa.eu,http://www.andrey-kovatchev.eu,http://twitter.com/andreykovatchev,https://www.facebook.com/Andrey-Kovatchev-133004451640/,https://www.facebook.com/andrey.kovatchev,,https://data.europarl.europa.eu/person/97968
189525,Mr,Asim,Ademov,Асим,Адемов,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Citizens for European Development of Bulgaria,male,Bulgaria,Dubnitsa,3/12/1968 1:00,,55,https://www.europarl.europa.eu/mepphoto/189525.jpg,asim.ademov@europarl.europa.eu,http://asim-ademov.eu/,https://twitter.com/AdemovAsim,https://www.facebook.com/AdemovAsim/,,https://www.instagram.com/ademovasim/,https://data.europarl.europa.eu/person/189525
197836,Mr,Alexander,Alexandrov Yordanov,Александър,Александров Йорданов,Bulgaria,Group of the European People's Party (Christian Democrats),EPP,Union of Democratic Forces,male,Bulgaria,Varna,2/13/1952 1:00,,71,https://www.europarl.europa.eu/mepphoto/197836.jpg,alexander.yordanov@europarl.europa.eu,http://www.alexanderyordanov.com/,,,,,https://data.europarl.europa.eu/person/197836
197845,Ms,Tsvetelina,Penkova,Цветелина,Пенкова,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Bulgarian Socialist Party,female,Bulgaria,Sofia,2/19/1988 1:00,,35,https://www.europarl.europa.eu/mepphoto/197845.jpg,tsvetelina.penkova@europarl.europa.eu,https://www.tsvetelinapenkova.eu/,https://twitter.com/tsvetypenkova,https://www.facebook.com/Tsvetelina.M.Penkova/,,https://www.instagram.com/tsvetelina_penkova/,https://data.europarl.europa.eu/person/197845
197844,Mr,Petar,Vitanov,Петър,Витанов,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Bulgarian Socialist Party,male,Bulgaria,Sliven,4/18/1982 0:00,,41,https://www.europarl.europa.eu/mepphoto/197844.jpg,petar.vitanov@europarl.europa.eu,,,https://www.facebook.com/peter.vitanov,,,https://data.europarl.europa.eu/person/197844
197846,Mr,Ivo,Hristov,Иво,Христов,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Bulgarian Socialist Party,male,Bulgaria,Istanbul,8/10/1970 1:00,,52,https://www.europarl.europa.eu/mepphoto/197846.jpg,ivo.hristov@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197846
124852,Mr,Sergei,Stanishev,Сергей,Станишев,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Bulgarian Socialist Party,male,Bulgaria,Kherson,5/5/1966 1:00,,57,https://www.europarl.europa.eu/mepphoto/124852.jpg,sergei.stanishev@europarl.europa.eu,,https://twitter.com/SergeiStanishev,,https://www.facebook.com/Stanishev.Sergei/,,https://data.europarl.europa.eu/person/124852
197842,Ms,Elena,Yoncheva,Елена,Йончева,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Bulgarian Socialist Party,female,Bulgaria,Sofia,5/27/1964 1:00,,59,https://www.europarl.europa.eu/mepphoto/197842.jpg,elena.yoncheva@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197842
124866,Mr,Ilhan,Kyuchyuk,Илхан,Кючюк,Bulgaria,Renew Europe Group,Renew,Movement for Rights and Freedoms,male,Bulgaria,Sevlievo,9/16/1985 0:00,,37,https://www.europarl.europa.eu/mepphoto/124866.jpg,ilhan.kyuchyuk@europarl.europa.eu,https://ilhankyuchyuk.eu/,https://twitter.com/ilhankyuchyuk,,https://www.facebook.com/ilhan.kyuchyuk.eu/,,https://data.europarl.europa.eu/person/124866
197848,Ms,Atidzhe,Alieva-Veli,Атидже,Алиева-Вели,Bulgaria,Renew Europe Group,Renew,Movement for Rights and Freedoms,female,Bulgaria,Devin,9/18/1981 0:00,,41,https://www.europarl.europa.eu/mepphoto/197848.jpg,atidzhe.alieva-veli@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197848
125128,Ms,Iskra,Mihaylova,Искра,Михайлова,Bulgaria,Renew Europe Group,Renew,Movement for Rights and Freedoms,female,Bulgaria,Sofia,7/9/1957 1:00,,65,https://www.europarl.europa.eu/mepphoto/125128.jpg,iskra.mihaylova@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/125128
221463,Mr,Ladislav,Ilčić,,,Croatia,European Conservatives and Reformists Group,ECR,Hrvatski suverenisti,male,Croatia,,4/8/1970 1:00,,53,https://www.europarl.europa.eu/mepphoto/221463.jpg,ladislav.ilcic@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/221463
197413,Mr,Karlo,Ressler,,,Croatia,Group of the European People's Party (Christian Democrats),EPP,Hrvatska demokratska zajednica,male,Croatia,Zagreb,12/26/1989 1:00,,33,https://www.europarl.europa.eu/mepphoto/197413.jpg,karlo.ressler@europarl.europa.eu,https://www.karloressler.eu/,https://twitter.com/KarloRessler,https://www.facebook.com/resslerkarlo/,,https://www.instagram.com/karloressler/,https://data.europarl.europa.eu/person/197413
197417,Mr,Tomislav,Sokol,,,Croatia,Group of the European People's Party (Christian Democrats),EPP,Hrvatska demokratska zajednica,male,Croatia,Zagreb,9/20/1982 0:00,,40,https://www.europarl.europa.eu/mepphoto/197417.jpg,tomislav.sokol@europarl.europa.eu,,https://twitter.com/TomislavSokol,https://www.facebook.com/TomislavSokol/,,https://www.instagram.com/tomislav__sokol/,https://data.europarl.europa.eu/person/197417
185341,Ms,Željana,Zovko,,,Croatia,Group of the European People's Party (Christian Democrats),EPP,Hrvatska demokratska zajednica,female,Croatia,Mostar,3/25/1970 1:00,,53,https://www.europarl.europa.eu/mepphoto/185341.jpg,zeljana.zovko@europarl.europa.eu,http://www.zeljanazovko.eu/,https://twitter.com/ZovkoEU,https://www.facebook.com/zeljanazovko.eu,,https://www.instagram.com/zeljazov/,https://data.europarl.europa.eu/person/185341
202036,Ms,Sunčana,Glavak,,,Croatia,Group of the European People's Party (Christian Democrats),EPP,Hrvatska demokratska zajednica,female,Croatia,Čakovec,9/12/1968 1:00,,54,https://www.europarl.europa.eu/mepphoto/202036.jpg,suncana.glavak@europarl.europa.eu,https://suncanaglavak.eu/,https://twitter.com/SuncanaGlavak,https://www.facebook.com/SGlavak,,https://www.instagram.com/suncanaglavak/,https://data.europarl.europa.eu/person/202036
112748,Ms,Biljana,Borzan,,,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Socijaldemokratska partija Hrvatske,female,Croatia,Osijek,11/29/1971 1:00,,51,https://www.europarl.europa.eu/mepphoto/112748.jpg,biljana.borzan@europarl.europa.eu,https://biljanaborzan.eu/,https://twitter.com/BiljanaBorzan,,https://www.facebook.com/pages/Biljana-Borzan/478557245556978,,https://data.europarl.europa.eu/person/112748
112747,Ms,Romana,Jerković,,,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Socijaldemokratska partija Hrvatske,female,Croatia,Split,11/28/1964 1:00,,58,https://www.europarl.europa.eu/mepphoto/112747.jpg,romana.jerkovic@europarl.europa.eu,,https://twitter.com/JerkovicRomana,https://www.facebook.com/JerkovicRomana,,https://www.instagram.com/romanajerkovicmep/,https://data.europarl.europa.eu/person/112747
112744,Mr,Tonino,Picula,,,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Socijaldemokratska partija Hrvatske,male,Croatia,Mali Lošinj,8/31/1961 1:00,,61,https://www.europarl.europa.eu/mepphoto/112744.jpg,tonino.picula@europarl.europa.eu,http://toninopicula.com/,https://twitter.com/TPicula,https://www.facebook.com/PiculaTonino/,,https://www.instagram.com/tonino_picula/,https://data.europarl.europa.eu/person/112744
197441,Mr,Predrag Fred,Matić,,,Croatia,Group of the Progressive Alliance of Socialists and Democrats in the  European Parliament,S&D,Socijaldemokratska partija Hrvatske,male,Croatia,Pozega,2/6/1962 1:00,,61,https://www.europarl.europa.eu/mepphoto/197441.jpg,fred.matic@europarl.europa.eu,,https://twitter.com/fred_matic,https://www.facebook.com/predragmaticfred/,,,https://data.europarl.europa.eu/person/197441
197935,Mr,Ivan Vilibor,Sinčić,,,Croatia,Non-attached Members,NI,KLJUČ Hrvatske,male,Croatia,KARLOVAC,8/28/1990 0:00,,32,https://www.europarl.europa.eu/mepphoto/197935.jpg,ivanvilibor.sincic@europarl.europa.eu,,,https://www.facebook.com/ivsincic/,,,https://data.europarl.europa.eu/person/197935
197438,Mr,Mislav,Kolakušić,,,Croatia,Non-attached Members,NI,-,male,Croatia,Zagreb,9/15/1969 1:00,,53,https://www.europarl.europa.eu/mepphoto/197438.jpg,mislav.kolakusic@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197438
197419,Mr,Valter,Flego,,,Croatia,Renew Europe Group,Renew,Istarski demokratski sabor - Dieta democratica istriana,male,Croatia,Koper,8/15/1972 1:00,,50,https://www.europarl.europa.eu/mepphoto/197419.jpg,Valter.Flego@europarl.europa.eu; valter.flego@europarl.europa.eu,,,,,,https://data.europarl.europa.eu/person/197419
